video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=MEGp0vLOIXQ&pp=ygUIcG9saXRpY3M%3D,/@NewStatesman,The New Statesman,"Is Donald Trump ""blackmailing"" Britain over Greenland? | World Politics | The New Statesman",25K,2 days,"On Saturday, Trump said he would impose tariffs on the UK, Denmark, Norway, Sweden, France, Germany, the Netherlands and ...",2026-01-21 22:58:47.608617
/shorts/cjleQZKyGPI,/@Bloomberg-News,Bloomberg News,Canada's Carney Says 'Rules-Based World Order' Now Dead,26K,1 day,"Canada stands completely behind Greenland and Denmark, according to Prime Minister Mark Carney, who says the world's ...",2026-01-21 22:58:47.611940
/shorts/-oveMcC8PgA,/@Bloomberg-News,Bloomberg News,France's Macron Meets Canada's Carney at Davos,102K,1 day,French President Emmanuel Macron met Canadian Prime Minister Mark Carney at the World Economic Forum in Davos on ...,2026-01-21 22:58:47.614296
/shorts/aaF6_lKwBXo,/@FoxNews,Fox News,SEE IT: CNN blown away by new poll numbers for Democrats #foxnews #news #shorts #politics,182K,4 weeks,CNN analysts break down the latest polling numbers for the Democratic Party ahead of the 2026 midterm elections. #fox #media ...,2026-01-21 22:58:54.871371
/watch?v=vtIr7TPh9XY&pp=ygUIcG9saXRpY3M%3D,/@FoxNewsChannelClips,Fox News Clips,"This is ‘political SUICIDE’ if Democrats continue this way, says political strategist",67K,6 days,Democratic strategist and attorney Julian Epstein and Endeavor PAC founder Tiffany Smiley discuss Democrats' division and ...,2026-01-21 22:58:54.872654
/shorts/QHqjbHPwpxM,/@nationalnewsUs-1,National News US,Grand Juries Tell Trump DOJ: No Felony Indictments #uspolitics #breakingnews #legalnews #news,799K,2 weeks,"Grand Juries Tell Trump DOJ: No Felony Indictments Multiple Washington, DC grand juries have rejected the Trump DOJ's push ...",2026-01-21 22:58:54.875903
/watch?v=mBL_P_l6GyA&pp=ygUIcG9saXRpY3M%3D,/@FoxNews,Fox News,ALLIES SEE RED: Trump rattles European nations with a desire to take over Greenland,158K,1 day,President Donald Trump warned that he no longer feels obligated to think 'purely of peace' as European leaders voice concerns ...,2026-01-21 22:58:54.877557
/shorts/7N_jbxUAWHs,/@FoxNews,Fox News,GOT MILK?: President Trump does,173K,6 days,President Donald Trump makes a joke about milk and encourages the press to share the carton. #fox #media #breakingnews #us ...,2026-01-21 22:58:54.878870
/shorts/JMOi5MuwPkQ,/@LegalEagle,LegalEagle,Epstein Bombshell: Trump “Spent HOURS” With Victim #trump #news #politics #legaleagle #eagleteam,580K,1 month,"Newly released Epstein emails from 2011 and 2018 mention Donald Trump, Ghislaine Maxwell, and a victim by name.",2026-01-21 22:58:54.880068
/shorts/63nfvn8JviM,/@FoxNews,Fox News,WATCH: Minnesota AG says Trump is targeting Minnesota over politics,36K,8 days,Minnesota Attorney General Keith Ellison accuses President Donald Trump of targeting Minnesota because of politics at a press ...,2026-01-21 22:58:54.881311
/shorts/IpMJ-3fYcuw,/@TheDailyBeast,The Daily Beast,Trump And Epstein Shared A Girlfriend #trump #politics #podcast,35K,3 weeks,Michael Wolff reveals to Joanna Coles that Trump and Epstein once shared a girlfriend and why sharing women was normal ...,2026-01-21 22:58:54.882449
/shorts/ntazTJfJBC0,/@MNS-930,MARATHI NEWS STORIES ,#short #shortsnews #politics,3.9K,9 hours,"Bigg Boss Marathi | Bigg Boss Marathi news Shorts tags: #shorts, #shortsvideo, #youtubeshorts, #marathishorts ...",2026-01-21 22:58:54.883583
/shorts/vZxgLmuFVc8,/@washingtontimes,The Washington Times,Border Patrol Commander calls out politicians for distracting from the 'FACTS'#minneapolis  #ice,No,5 hours,"https://www.washingtontimes.com The Washington Times delivers trusted, hard-hitting journalism and insightful analysis on ...",2026-01-21 22:58:54.886810
/shorts/j8pYPX9Zkf4,/@RestPoliticsUS,The Rest Is Politics US,Why Rubio Will NEVER Be President...👀,402K,9 days,usa #marcorubio #donaldtrump #politics #cuba.,2026-01-21 22:58:54.888002
/watch?v=IBh-JaEDS78&pp=ygUIcG9saXRpY3M%3D,/@thehill,The Hill,"Poll: Americans REJECTING Political Parties, ESPECIALLY Gen-Z! | RISING",11K,2 days,Robby Soave and Lindsey Granger in a recent Gallup survey found that 45% of U.S. adults identify as political independents.,2026-01-21 22:58:54.889200
/shorts/DutBjuAwTxE,/@FoxBusiness,Fox Business,Stuart Varney: Identity politics has killed Walz's career #shorts #varney #walz #minnesota #fraud,154K,2 weeks,"FOX Business' Stuart Varney examines the rise and fallout of identity politics in Minnesota, arguing Gov. Tim Walz's handling of ...",2026-01-21 22:58:54.890412
/watch?v=DMPe_e-WRMk&pp=ygUIcG9saXRpY3M%3D,/@HookGlobal,Hook Global,Greenlandic Politician Shows Mirror To Trump Over Island Invasion Plan: 'He Doesn't Know About...',3.1M,3 days,Greenlandic politician | Trump Greenland comment | Greenland sovereignty | Arctic geopolitics | US Greenland relations | island ...,2026-01-21 22:58:54.891639
/shorts/lepG-b1Wiwo,/@FoxNews,Fox News,Democrat CAUGHT REMOVING FOUNDERS' PORTRAITS from state capitol #foxnews #news #us #fox,683K,12 days,"State Sen. Machaela Cavanaugh, D-Neb., was caught on camera removing portraits of America's founders from the Nebraska ...",2026-01-21 22:58:54.894163
/shorts/aVFV9t8IRFQ,/@FoxNews,Fox News,"Usha Vance PREGNANT, expecting baby number 4! #shorts #foxnews #politics",124K,11 hours,Second lady Usha Vance is pregnant with a baby boy due in July. #foxnews #news #us #fox Subscribe to Fox News: ...,2026-01-21 22:58:54.895368
/shorts/WPaIwydwqx0,/@msnow,MS NOW,Maddow: 'Morally repulsive' Trump sparks protests across U.S.,565K,8 days,"""Profound weakness and political malpractice"" Rachel Maddow explains how nationwide protests reflect a growing backlash to ...",2026-01-21 22:58:54.897648
